dt,horizon,decision_date,cons_pred_mw,load_plan_mw,sw_rad_wm2,solar_pred_mw,residual_load_mw,solar_status
2026-09-02 00:00:00,1,2026-09-01,42951.495768326895,41601.0,0.0,0.0,42951.495768326895,ok
2026-09-02 01:00:00,1,2026-09-01,40792.903452889535,39769.0,0.0,0.0,40792.903452889535,ok
2026-09-02 02:00:00,1,2026-09-01,38734.39168838863,38029.0,0.0,0.0,38734.39168838863,ok
2026-09-02 03:00:00,1,2026-09-01,37448.71138681139,36772.0,0.0,0.0,37448.71138681139,ok
2026-09-02 04:00:00,1,2026-09-01,36553.6575155734,35956.0,0.0,0.0,36553.6575155734,ok
2026-09-02 05:00:00,1,2026-09-01,36777.26542028681,36094.0,0.0,0.0,36777.26542028681,ok
2026-09-02 06:00:00,1,2026-09-01,37843.66028617598,36744.0,0.03414634146341464,0.7768943170731708,37842.88339185891,ok
2026-09-02 07:00:00,1,2026-09-01,41102.62574935406,39401.0,15.419512195121955,350.82327660975614,40751.802472744304,ok
2026-09-02 08:00:00,1,2026-09-01,47672.90571672199,45142.0,142.45121951219514,3241.03661347561,44431.869103246376,ok
2026-09-02 09:00:00,1,2026-09-01,50706.65778363134,48578.0,335.7902439024391,7639.867729195124,43066.79005443621,ok
2026-09-02 10:00:00,1,2026-09-01,51366.66326016936,50253.0,518.439024390244,11795.475431219513,39571.18782894984,ok
2026-09-02 11:00:00,1,2026-09-01,52495.95260192487,51611.0,673.3926829268295,15320.966349646345,37174.986252278526,ok
2026-09-02 12:00:00,1,2026-09-01,51550.27409543278,50793.0,781.7926829268295,17787.272851646347,33763.001243786435,ok
2026-09-02 13:00:00,1,2026-09-01,52739.24848389645,51705.0,847.4731707317073,19281.629070536586,33457.61941335986,ok
2026-09-02 14:00:00,1,2026-09-01,53492.50786772919,52770.0,845.448780487805,19235.570336024393,34256.937531704796,ok
2026-09-02 15:00:00,1,2026-09-01,52427.05704242092,52169.0,782.2756097560977,17798.260356987805,34628.79668543312,ok
2026-09-02 16:00:00,1,2026-09-01,52121.22255122745,51509.0,661.6853658536586,15054.602583792683,37066.61996743477,ok
2026-09-02 17:00:00,1,2026-09-01,51155.56240507374,50675.0,500.08536585365863,11377.894735792683,39777.66766928106,ok
2026-09-02 18:00:00,1,2026-09-01,50731.3744324801,49963.0,308.448780487805,7017.797351024393,43713.57708145571,ok
2026-09-02 19:00:00,1,2026-09-01,51605.30758814538,50124.0,120.03902439024391,2731.1164792195123,48874.191108925865,ok
2026-09-02 20:00:00,1,2026-09-01,51305.071948810575,49780.0,8.534146341463416,194.1680868170732,51110.9038619935,ok
2026-09-02 21:00:00,1,2026-09-01,49176.24025245223,48246.0,0.0,0.0,49176.24025245223,ok
2026-09-02 22:00:00,1,2026-09-01,47335.028743583,46615.0,0.0,0.0,47335.028743583,ok
2026-09-02 23:00:00,1,2026-09-01,45569.52533664404,44624.0,0.0,0.0,45569.52533664404,ok
2026-09-03 00:00:00,2,2026-09-01,43845.08599879653,42500.0,0.0,0.0,43845.08599879653,ok
2026-09-03 01:00:00,2,2026-09-01,41189.53589809817,40432.0,0.0,0.0,41189.53589809817,ok
2026-09-03 02:00:00,2,2026-09-01,39288.43777993245,38785.0,0.0,0.0,39288.43777993245,ok
2026-09-03 03:00:00,2,2026-09-01,37786.88488268505,37401.0,0.0,0.0,37786.88488268505,ok
2026-09-03 04:00:00,2,2026-09-01,37294.78228185107,36740.0,0.0,0.0,37294.78228185107,ok
2026-09-03 05:00:00,2,2026-09-01,37676.137774974326,36871.0,0.0,0.0,37676.137774974326,ok
2026-09-03 06:00:00,2,2026-09-01,38098.90839058592,37533.0,0.01707317073170732,0.3884471585365854,38098.51994342739,ok
2026-09-03 07:00:00,2,2026-09-01,41257.947952431874,40238.0,14.799999999999999,336.728194,40921.21975843187,ok
2026-09-03 08:00:00,2,2026-09-01,47769.35594460464,46392.0,141.72682926829273,3224.5553554634153,44544.800589141225,ok
2026-09-03 09:00:00,2,2026-09-01,50895.12591994824,49834.0,334.65365853658545,7614.008246926831,43281.11767302141,ok
