ts,licensed_mw,model_mw
2026-08-10 00:00:00,0.0,0.0
2026-08-10 01:00:00,0.0,0.0
2026-08-10 02:00:00,0.0,0.0
2026-08-10 03:00:00,0.02,0.0
2026-08-10 04:00:00,0.38,0.0
2026-08-10 05:00:00,9.78,0.0
2026-08-10 06:00:00,295.05,10.5527498729561
2026-08-10 07:00:00,1330.79,1038.3697289922538
2026-08-10 08:00:00,2207.85,4743.304828860839
2026-08-10 09:00:00,2556.13,8953.28204560074
2026-08-10 10:00:00,2733.3,12843.382953904855
2026-08-10 11:00:00,2799.54,16044.736123146087
2026-08-10 12:00:00,2753.0,17879.44325846021
2026-08-10 13:00:00,2753.3,18162.031568559014
2026-08-10 14:00:00,2640.01,18503.171581557333
2026-08-10 15:00:00,2434.4,16899.447242562805
2026-08-10 16:00:00,2153.9700000000003,15370.311606017542
2026-08-10 17:00:00,1664.3700000000001,12412.947317239732
2026-08-10 18:00:00,581.47,8923.042365056868
2026-08-10 19:00:00,39.58,4625.0725454746125
2026-08-10 20:00:00,70.45,1148.370829452538
2026-08-10 21:00:00,23.71,0.0
2026-08-10 22:00:00,1.01,0.0
2026-08-10 23:00:00,0.0,0.0
2026-08-11 00:00:00,0.0,0.0
2026-08-11 01:00:00,0.0,0.0
2026-08-11 02:00:00,0.0,0.0
2026-08-11 03:00:00,0.0,0.0
2026-08-11 04:00:00,0.2,0.0
2026-08-11 05:00:00,9.5,0.0
2026-08-11 06:00:00,294.05,9.202674443747522
2026-08-11 07:00:00,1405.19,985.3163175396003
2026-08-11 08:00:00,2270.5099999999998,4558.438447982414
2026-08-11 09:00:00,2565.8199999999997,8656.117590226631
2026-08-11 10:00:00,2719.44,12595.483314018165
2026-08-11 11:00:00,2791.17,14992.6058164383
2026-08-11 12:00:00,2731.43,15703.081691099762
2026-08-11 13:00:00,2741.85,16538.194648480297
2026-08-11 14:00:00,2645.02,16517.410540056353
2026-08-11 15:00:00,2540.68,17217.76700503075
2026-08-11 16:00:00,2305.92,14650.772794829885
2026-08-11 17:00:00,1731.97,12329.691485363755
2026-08-11 18:00:00,607.5,8843.709308804258
2026-08-11 19:00:00,33.46,4610.004917315351
2026-08-11 20:00:00,61.22,1113.160881809974
2026-08-11 21:00:00,16.259999999999998,0.0
2026-08-11 22:00:00,0.5,0.0
2026-08-11 23:00:00,0.0,0.0
2026-08-12 00:00:00,0.0,0.0
2026-08-12 01:00:00,0.0,0.0
2026-08-12 02:00:00,0.0,0.0
2026-08-12 03:00:00,0.0,0.0
2026-08-12 04:00:00,0.41000000000000003,0.0
2026-08-12 05:00:00,9.12,0.0
2026-08-12 06:00:00,307.68,8.334812505020617
2026-08-12 07:00:00,1428.84,1002.2675288464308
2026-08-12 08:00:00,2369.45,4753.867892330129
2026-08-12 09:00:00,2574.95,8991.42572128233
2026-08-12 10:00:00,2741.51,13005.768622960177
2026-08-12 11:00:00,2778.1,16272.964238804885
