city,w_fit
istanbul,0.08895032638095286
ankara,0.10748369693532824
izmir,0.09796418755162052
bursa,0.09846252341555901
antalya,0.1024264569767444
adana,0.10225691428946565
gaziantep,0.10424555156383603
konya,0.11140308844623532
samsun,0.08597632073187447
erzurum,0.10083093370838353
