datetime,horizon,consumption_pred_mw,solar_pred_mw,wind_pred_mw,residual_load_mw,renewable_generation_mw,renewable_penetration,solar_status,wind_status,is_peak_hour,residual_ramp_1h,solar_ramp_1h
2026-09-12 00:00:00+03:00,T+1,40382.215,0.0,3792.8604,36589.355,3792.8604,0.09392403,zero_night,blend,0,0.0,0.0
2026-09-12 01:00:00+03:00,T+1,38584.773,0.0,3518.1094,35066.664,3518.1094,0.0911787,zero_night,blend,0,-1522.6914,0.0
2026-09-12 02:00:00+03:00,T+1,36990.61,0.0,3094.6106,33896.0,3094.6106,0.08365936,zero_night,blend,0,-1170.6641,0.0
2026-09-12 03:00:00+03:00,T+1,35924.105,0.0,3136.8245,32787.28,3136.8245,0.08731809,zero_night,blend,0,-1108.7188,0.0
2026-09-12 04:00:00+03:00,T+1,35114.05,0.0,2967.3206,32146.73,2967.3206,0.08450522,zero_night,blend,0,-640.5508,0.0
2026-09-12 05:00:00+03:00,T+1,35332.13,0.0,2816.9802,32515.148,2816.9802,0.07972857,zero_night,blend,0,368.41797,0.0
2026-09-12 06:00:00+03:00,T+1,35571.973,0.0,2636.535,32935.438,2636.535,0.07411832,ok,blend,0,420.28906,0.0
2026-09-12 07:00:00+03:00,T+1,37440.5,226.41376,2366.6345,34847.453,2593.0483,0.06925785,ok,blend,0,1912.0156,226.41376
2026-09-12 08:00:00+03:00,T+1,41642.965,3060.0562,2101.811,36481.098,5161.867,0.123955324,ok,blend,1,1633.6445,2833.6423
2026-09-12 09:00:00+03:00,T+1,43606.15,7625.585,1626.3817,34354.18,9251.967,0.21217115,ok,blend,1,-2126.918,4565.529
2026-09-12 10:00:00+03:00,T+1,44914.605,11870.837,1397.5143,31646.254,13268.352,0.29541284,ok,blend,1,-2707.9258,4245.252
2026-09-12 11:00:00+03:00,T+1,46649.297,15189.259,1249.858,30210.18,16439.117,0.35239795,ok,blend,1,-1436.0742,3318.4219
2026-09-12 12:00:00+03:00,T+1,45416.977,17353.12,1333.1603,26730.697,18686.28,0.4114382,ok,blend,1,-3479.4824,2163.8604
2026-09-12 13:00:00+03:00,T+1,46417.43,18329.076,1484.5883,26603.766,19813.664,0.42685828,ok,blend,1,-126.93164,975.95703
2026-09-12 14:00:00+03:00,T+1,46681.867,18098.75,2001.723,26581.395,20100.473,0.43058416,ok,blend,1,-22.371094,-230.32617
2026-09-12 15:00:00+03:00,T+1,45365.777,16641.57,2369.1897,26355.018,19010.76,0.41905507,ok,blend,1,-226.37695,-1457.1797
2026-09-12 16:00:00+03:00,T+1,44636.395,14082.033,2777.656,27776.705,16859.69,0.3777117,ok,blend,1,1421.6875,-2559.537
2026-09-12 17:00:00+03:00,T+1,45372.94,10617.199,3083.9333,31671.809,13701.133,0.30196705,ok,blend,1,3895.1035,-3464.834
2026-09-12 18:00:00+03:00,T+1,45442.566,6330.7266,3090.801,36021.04,9421.527,0.20732825,ok,blend,1,4349.2305,-4286.4727
2026-09-12 19:00:00+03:00,T+1,47012.215,0.0,3313.4922,43698.723,3313.4922,0.07048152,zero_night,blend,1,7677.6836,-6330.7266
2026-09-12 20:00:00+03:00,T+1,46409.11,0.0,3415.8315,42993.277,3415.8315,0.07360261,zero_night,blend,0,-705.4453,0.0
2026-09-12 21:00:00+03:00,T+1,44948.176,0.0,3021.3516,41926.824,3021.3516,0.06721856,zero_night,blend,0,-1066.4531,0.0
2026-09-12 22:00:00+03:00,T+1,43659.04,0.0,2557.952,41101.086,2557.952,0.058589287,zero_night,blend,0,-825.7383,0.0
2026-09-12 23:00:00+03:00,T+1,40971.996,0.0,2199.4573,38772.54,2199.4573,0.053681966,zero_night,blend,0,-2328.5469,0.0
2026-09-13 00:00:00+03:00,T+2,38491.188,0.0,2018.6978,36472.49,2018.6978,0.052445713,zero_night,blend,0,-2300.0508,0.0
2026-09-13 01:00:00+03:00,T+2,36340.33,0.0,1906.0024,34434.324,1906.0024,0.052448686,zero_night,blend,0,-2038.1641,0.0
2026-09-13 02:00:00+03:00,T+2,34873.707,0.0,1665.3491,33208.36,1665.3491,0.047753718,zero_night,blend,0,-1225.9648,0.0
2026-09-13 03:00:00+03:00,T+2,34482.008,0.0,1887.1769,32594.83,1887.1769,0.05472932,zero_night,blend,0,-613.5293,0.0
2026-09-13 04:00:00+03:00,T+2,33533.566,0.0,2250.0461,31283.52,2250.0461,0.06709833,zero_night,blend,0,-1311.3105,0.0
2026-09-13 05:00:00+03:00,T+2,33553.375,0.0,2531.927,31021.447,2531.927,0.07545968,zero_night,blend,0,-262.07227,0.0
2026-09-13 06:00:00+03:00,T+2,33409.87,0.0,2733.576,30676.295,2733.576,0.08181941,ok,blend,0,-345.15234,0.0
2026-09-13 07:00:00+03:00,T+2,33782.824,203.83559,2776.0144,30802.975,2979.85,0.08820607,ok,blend,0,126.67969,203.83559
2026-09-13 08:00:00+03:00,T+2,35430.258,2686.7559,2781.4075,29962.094,5468.163,0.15433596,ok,blend,1,-840.88086,2482.9202
2026-09-13 09:00:00+03:00,T+2,36841.844,6914.452,2434.7874,27492.605,9349.239,0.25376686,ok,blend,1,-2469.4883,4227.6963
2026-09-13 10:00:00+03:00,T+2,38712.418,11226.056,2096.1208,25390.242,13322.177,0.34413186,ok,blend,1,-2102.3633,4311.6035
2026-09-13 11:00:00+03:00,T+2,39165.01,14001.879,2020.911,23142.223,16022.79,0.4091098,ok,blend,1,-2248.0195,2775.8232
2026-09-13 12:00:00+03:00,T+2,39251.305,14898.718,2276.0696,22076.518,17174.787,0.43755963,ok,blend,1,-1065.7051,896.83887
2026-09-13 13:00:00+03:00,T+2,40169.49,15932.3955,2474.9028,21762.19,18407.299,0.4582408,ok,blend,1,-314.32812,1033.6777
2026-09-13 14:00:00+03:00,T+2,40471.11,15982.627,2700.1768,21788.305,18682.805,0.46163312,ok,blend,1,26.115234,50.231445
2026-09-13 15:00:00+03:00,T+2,39144.688,14653.399,3275.9783,21215.31,17929.377,0.45802835,ok,blend,1,-572.99414,-1329.2275
2026-09-13 16:00:00+03:00,T+2,39128.207,11019.212,3838.9597,24270.035,14858.172,0.37973046,ok,blend,1,3054.7246,-3634.1875
2026-09-13 17:00:00+03:00,T+2,39785.43,8023.3984,4147.609,27614.422,12171.008,0.30591622,ok,blend,1,3344.3867,-2995.8135
2026-09-13 18:00:00+03:00,T+2,41279.02,4854.1343,4204.5825,32220.303,9058.717,0.21945088,ok,blend,1,4605.881,-3169.2642
2026-09-13 19:00:00+03:00,T+2,43717.016,0.0,4248.3345,39468.68,4248.3345,0.09717806,zero_night,blend,1,7248.377,-4854.1343
2026-09-13 20:00:00+03:00,T+2,43399.934,0.0,4216.6025,39183.332,4216.6025,0.09715689,zero_night,blend,0,-285.34766,0.0
2026-09-13 21:00:00+03:00,T+2,42104.496,0.0,4260.5303,37843.965,4260.5303,0.101189435,zero_night,blend,0,-1339.3672,0.0
2026-09-13 22:00:00+03:00,T+2,41122.523,0.0,4459.923,36662.6,4459.923,0.1084545,zero_night,blend,0,-1181.3633,0.0
2026-09-13 23:00:00+03:00,T+2,38617.633,0.0,4717.413,33900.22,4717.413,0.12215697,zero_night,blend,0,-2762.3828,0.0
