datetime,horizon,consumption_pred_mw,solar_pred_mw,wind_pred_mw,residual_load_mw,renewable_generation_mw,renewable_penetration,solar_status,wind_status,is_peak_hour,residual_ramp_1h,solar_ramp_1h
2026-09-15 00:00:00+03:00,T+1,39533.797,0.0,5474.7847,34059.01,5474.7847,0.13848366,zero_night,blend,0,0.0,0.0
2026-09-15 01:00:00+03:00,T+1,37053.33,0.0,5310.568,31742.76,5310.568,0.14332229,zero_night,blend,0,-2316.252,0.0
2026-09-15 02:00:00+03:00,T+1,36149.72,0.0,5137.1807,31012.54,5137.1807,0.14210846,zero_night,blend,0,-730.2207,0.0
2026-09-15 03:00:00+03:00,T+1,34708.652,0.0,5026.1787,29682.473,5026.1787,0.14481054,zero_night,blend,0,-1330.0664,0.0
2026-09-15 04:00:00+03:00,T+1,34259.45,0.0,5061.032,29198.418,5061.032,0.14772661,zero_night,blend,0,-484.0547,0.0
2026-09-15 05:00:00+03:00,T+1,34619.598,0.0,5172.588,29447.01,5172.588,0.14941213,zero_night,blend,0,248.5918,0.0
2026-09-15 06:00:00+03:00,T+1,35469.504,0.0,5125.341,30344.164,5125.341,0.14449993,ok,blend,0,897.1543,0.0
2026-09-15 07:00:00+03:00,T+1,38299.418,175.48975,4835.685,33288.242,5011.175,0.13084206,ok,blend,0,2944.0781,175.48975
2026-09-15 08:00:00+03:00,T+1,44552.484,2415.5889,4667.8564,37469.04,7083.4453,0.15899102,ok,blend,1,4180.797,2240.099
2026-09-15 09:00:00+03:00,T+1,46782.58,5982.3057,4524.3623,36275.91,10506.668,0.22458506,ok,blend,1,-1193.1289,3566.7168
2026-09-15 10:00:00+03:00,T+1,47187.17,9176.836,4615.644,33394.69,13792.48,0.292293,ok,blend,1,-2881.2188,3194.5303
2026-09-15 11:00:00+03:00,T+1,48550.008,12389.474,4423.0723,31737.46,16812.547,0.3462934,ok,blend,1,-1657.2305,3212.6377
2026-09-15 12:00:00+03:00,T+1,46943.477,14863.308,4457.811,27622.357,19321.12,0.41158262,ok,blend,1,-4115.1035,2473.834
2026-09-15 13:00:00+03:00,T+1,47586.61,15353.356,4664.3354,27568.918,20017.691,0.42065808,ok,blend,1,-53.439453,490.04883
2026-09-15 14:00:00+03:00,T+1,48173.6,13620.695,5124.3735,29428.533,18745.068,0.38911495,ok,blend,1,1859.6152,-1732.6611
2026-09-15 15:00:00+03:00,T+1,48053.39,12190.05,5633.024,30230.316,17823.074,0.3709015,ok,blend,1,801.7832,-1430.6455
2026-09-15 16:00:00+03:00,T+1,47630.395,9128.626,6128.09,32373.68,15256.716,0.3203147,ok,blend,1,2143.3633,-3061.4238
2026-09-15 17:00:00+03:00,T+1,47525.91,6780.7812,6733.878,34011.25,13514.659,0.284364,ok,blend,1,1637.5703,-2347.8447
2026-09-15 18:00:00+03:00,T+1,47848.312,4452.37,7144.803,36251.14,11597.174,0.24237372,ok,blend,1,2239.8906,-2328.4111
2026-09-15 19:00:00+03:00,T+1,48419.844,0.0,6987.5625,41432.28,6987.5625,0.14431196,zero_night,blend,1,5181.1406,-4452.37
2026-09-15 20:00:00+03:00,T+1,47577.805,0.0,7327.4824,40250.32,7327.4824,0.15401052,zero_night,blend,0,-1181.9609,0.0
2026-09-15 21:00:00+03:00,T+1,45784.824,0.0,7384.3057,38400.52,7384.3057,0.16128282,zero_night,blend,0,-1849.8008,0.0
2026-09-15 22:00:00+03:00,T+1,43575.63,0.0,7536.8096,36038.82,7536.8096,0.17295928,zero_night,blend,0,-2361.6992,0.0
2026-09-15 23:00:00+03:00,T+1,40965.81,0.0,7365.4355,33600.375,7365.4355,0.17979471,zero_night,blend,0,-2438.4453,0.0
2026-09-16 00:00:00+03:00,T+2,39172.74,0.0,7353.097,31819.64,7353.097,0.18770956,zero_night,blend,0,-1780.7344,0.0
2026-09-16 01:00:00+03:00,T+2,37160.26,0.0,6884.965,30275.297,6884.965,0.18527763,zero_night,blend,0,-1544.3438,0.0
2026-09-16 02:00:00+03:00,T+2,35946.977,0.0,6420.499,29526.477,6420.499,0.17861027,zero_night,blend,0,-748.8203,0.0
2026-09-16 03:00:00+03:00,T+2,34886.56,0.0,5970.293,28916.266,5970.293,0.17113447,zero_night,blend,0,-610.21094,0.0
2026-09-16 04:00:00+03:00,T+2,34461.91,0.0,5637.2314,28824.68,5637.2314,0.16357861,zero_night,blend,0,-91.58594,0.0
2026-09-16 05:00:00+03:00,T+2,34950.867,0.0,5466.569,29484.299,5466.569,0.15640725,zero_night,blend,0,659.61914,0.0
2026-09-16 06:00:00+03:00,T+2,35648.465,0.0,5461.089,30187.375,5461.089,0.15319282,ok,blend,0,703.0762,0.0
2026-09-16 07:00:00+03:00,T+2,38273.055,130.23584,5449.953,32692.865,5580.189,0.14579941,ok,blend,0,2505.4902,130.23584
2026-09-16 08:00:00+03:00,T+2,44641.527,1550.391,5449.1426,37641.992,6999.5337,0.15679422,ok,blend,1,4949.127,1420.1552
2026-09-16 09:00:00+03:00,T+2,46639.86,4317.241,5391.7583,36930.86,9709.0,0.20816958,ok,blend,1,-711.1328,2766.85
2026-09-16 10:00:00+03:00,T+2,46644.688,6753.8276,4981.8423,34909.016,11735.67,0.25159714,ok,blend,1,-2021.8438,2436.5864
2026-09-16 11:00:00+03:00,T+2,47479.28,8515.765,4906.0747,34057.44,13421.84,0.28268835,ok,blend,1,-851.5742,1761.937
2026-09-16 12:00:00+03:00,T+2,46486.89,9782.297,4821.981,31882.613,14604.277,0.31415904,ok,blend,1,-2174.8281,1266.5322
2026-09-16 13:00:00+03:00,T+2,47118.33,11420.306,4923.4033,30774.62,16343.709,0.3468652,ok,blend,1,-1107.9941,1638.0088
2026-09-16 14:00:00+03:00,T+2,47681.332,10746.08,4826.6343,32108.617,15572.715,0.32659984,ok,blend,1,1333.998,-674.2256
2026-09-16 15:00:00+03:00,T+2,47495.117,9731.864,5289.431,32473.822,15021.295,0.3162703,ok,blend,1,365.20508,-1014.2158
2026-09-16 16:00:00+03:00,T+2,47384.934,6655.442,5837.041,34892.453,12492.482,0.2636383,ok,blend,1,2418.6309,-3076.4224
2026-09-16 17:00:00+03:00,T+2,47337.85,5841.4565,6476.7036,35019.69,12318.16,0.260218,ok,blend,1,127.23828,-813.98535
2026-09-16 18:00:00+03:00,T+2,46796.094,3132.1104,6656.169,37007.812,9788.279,0.20916873,ok,blend,1,1988.1211,-2709.3462
2026-09-16 19:00:00+03:00,T+2,47297.883,0.0,6753.3345,40544.547,6753.3345,0.14278302,zero_night,blend,1,3536.7344,-3132.1104
2026-09-16 20:00:00+03:00,T+2,46417.45,0.0,6613.1885,39804.26,6613.1885,0.14247203,zero_night,blend,0,-740.28516,0.0
2026-09-16 21:00:00+03:00,T+2,44693.56,0.0,6149.595,38543.965,6149.595,0.13759467,zero_night,blend,0,-1260.2969,0.0
2026-09-16 22:00:00+03:00,T+2,42907.43,0.0,6029.7285,36877.703,6029.7285,0.14052877,zero_night,blend,0,-1666.2617,0.0
2026-09-16 23:00:00+03:00,T+2,40792.797,0.0,5859.74,34933.055,5859.74,0.14364645,zero_night,blend,0,-1944.6484,0.0
