datetime,horizon,consumption_pred_mw,solar_pred_mw,wind_pred_mw,residual_load_mw,renewable_generation_mw,renewable_penetration,solar_status,wind_status,is_peak_hour,residual_ramp_1h,solar_ramp_1h
2026-09-11 00:00:00+03:00,T+1,40862.543,0.0,4124.104,36738.438,4124.104,0.10092627,zero_night,blend,0,0.0,0.0
2026-09-11 01:00:00+03:00,T+1,39463.62,0.0,4069.1091,35394.51,4069.1091,0.10311038,zero_night,blend,0,-1343.9258,0.0
2026-09-11 02:00:00+03:00,T+1,37694.477,0.0,4045.8127,33648.664,4045.8127,0.107331716,zero_night,blend,0,-1745.8477,0.0
2026-09-11 03:00:00+03:00,T+1,36559.77,0.0,4044.2117,32515.559,4044.2117,0.11061918,zero_night,blend,0,-1133.1055,0.0
2026-09-11 04:00:00+03:00,T+1,35776.14,0.0,4047.8992,31728.242,4047.8992,0.11314522,zero_night,blend,0,-787.3164,0.0
2026-09-11 05:00:00+03:00,T+1,35906.1,0.0,4010.3276,31895.773,4010.3276,0.11168931,zero_night,blend,0,167.53125,0.0
2026-09-11 06:00:00+03:00,T+1,37040.508,0.0,3863.517,33176.992,3863.517,0.104305185,ok,blend,0,1281.2188,0.0
2026-09-11 07:00:00+03:00,T+1,39778.297,242.42079,3409.7412,36126.133,3652.162,0.09181293,ok,blend,0,2949.1406,242.42079
2026-09-11 08:00:00+03:00,T+1,45729.664,3068.789,3164.7688,39496.105,6233.5576,0.13631321,ok,blend,1,3369.9727,2826.3682
2026-09-11 09:00:00+03:00,T+1,47886.156,7557.2144,2849.0461,37479.895,10406.261,0.21731251,ok,blend,1,-2016.2109,4488.4253
2026-09-11 10:00:00+03:00,T+1,48739.863,11583.048,2547.9558,34608.86,14131.004,0.28992704,ok,blend,1,-2871.0352,4025.8335
2026-09-11 11:00:00+03:00,T+1,49920.844,15020.1,2458.6255,32442.12,17478.725,0.3501288,ok,blend,1,-2166.7402,3437.0518
2026-09-11 12:00:00+03:00,T+1,48555.758,17257.842,2622.9058,28675.01,19880.748,0.40944162,ok,blend,1,-3767.1094,2237.7422
2026-09-11 13:00:00+03:00,T+1,49043.41,18274.727,3164.0134,27604.67,21438.74,0.43713805,ok,blend,1,-1070.3398,1016.88477
2026-09-11 14:00:00+03:00,T+1,50921.85,18127.824,3990.6165,28803.41,22118.441,0.4343605,ok,blend,1,1198.7402,-146.90234
2026-09-11 15:00:00+03:00,T+1,50066.953,16767.803,4281.825,29017.324,21049.629,0.4204296,ok,blend,1,213.91406,-1360.0215
2026-09-11 16:00:00+03:00,T+1,49100.586,14245.392,4515.144,30340.05,18760.535,0.38208374,ok,blend,1,1322.7266,-2522.4111
2026-09-11 17:00:00+03:00,T+1,48752.098,10707.094,4851.9,33193.1,15558.994,0.3191451,ok,blend,1,2853.0508,-3538.2979
2026-09-11 18:00:00+03:00,T+1,48242.688,6380.6094,5026.783,36835.297,11407.393,0.23645848,ok,blend,1,3642.1953,-4326.4844
2026-09-11 19:00:00+03:00,T+1,49045.332,0.0,5417.091,43628.242,5417.091,0.11045069,zero_night,blend,1,6792.9453,-6380.6094
2026-09-11 20:00:00+03:00,T+1,48407.07,0.0,5392.4736,43014.598,5392.4736,0.11139847,zero_night,blend,0,-613.64453,0.0
2026-09-11 21:00:00+03:00,T+1,46693.81,0.0,5034.814,41658.996,5034.814,0.10782616,zero_night,blend,0,-1355.6016,0.0
2026-09-11 22:00:00+03:00,T+1,44858.414,0.0,4402.639,40455.773,4402.639,0.098145224,zero_night,blend,0,-1203.2227,0.0
2026-09-11 23:00:00+03:00,T+1,42834.83,0.0,3974.0706,38860.758,3974.0706,0.09277662,zero_night,blend,0,-1595.0156,0.0
2026-09-12 00:00:00+03:00,T+2,40406.855,0.0,3828.0378,36578.816,3828.0378,0.094737336,zero_night,blend,0,-2281.9414,0.0
2026-09-12 01:00:00+03:00,T+2,38728.027,0.0,3500.7412,35227.285,3500.7412,0.09039296,zero_night,blend,0,-1351.5312,0.0
2026-09-12 02:00:00+03:00,T+2,37064.363,0.0,3094.6106,33969.754,3094.6106,0.08349288,zero_night,blend,0,-1257.5312,0.0
