datetime,horizon,consumption_pred_mw,solar_pred_mw,wind_pred_mw,residual_load_mw,renewable_generation_mw,renewable_penetration,solar_status,wind_status,is_peak_hour,residual_ramp_1h,solar_ramp_1h
2026-09-14 00:00:00+03:00,T+1,37657.86,0.0,4309.1836,33348.676,4309.1836,0.11442986,zero_night,blend,0,0.0,0.0
2026-09-14 01:00:00+03:00,T+1,35758.34,0.0,4225.1333,31533.207,4225.1333,0.11815798,zero_night,blend,0,-1815.4688,0.0
2026-09-14 02:00:00+03:00,T+1,34540.227,0.0,4125.9033,30414.324,4125.9033,0.11945212,zero_night,blend,0,-1118.8828,0.0
2026-09-14 03:00:00+03:00,T+1,33424.887,0.0,4309.483,29115.404,4309.483,0.12893036,zero_night,blend,0,-1298.9199,0.0
2026-09-14 04:00:00+03:00,T+1,32519.514,0.0,4434.5547,28084.959,4434.5547,0.13636597,zero_night,blend,0,-1030.4453,0.0
2026-09-14 05:00:00+03:00,T+1,32562.402,0.0,4455.554,28106.848,4455.554,0.13683125,zero_night,blend,0,21.888672,0.0
2026-09-14 06:00:00+03:00,T+1,33665.035,0.0,4412.3735,29252.662,4412.3735,0.13106695,ok,blend,0,1145.8145,0.0
2026-09-14 07:00:00+03:00,T+1,36995.69,145.85645,4258.8965,32590.938,4404.753,0.11906124,ok,blend,0,3338.2754,145.85645
2026-09-14 08:00:00+03:00,T+1,44427.117,2340.6477,3766.1277,38320.344,6106.7754,0.13745603,ok,blend,1,5729.4062,2194.7913
2026-09-14 09:00:00+03:00,T+1,46433.242,6329.271,3130.0178,36973.953,9459.289,0.20371804,ok,blend,1,-1346.3906,3988.6233
2026-09-14 10:00:00+03:00,T+1,47297.066,10531.964,3021.5874,33743.516,13553.551,0.28656217,ok,blend,1,-3230.4375,4202.693
2026-09-14 11:00:00+03:00,T+1,48158.07,13635.293,3085.1394,31437.639,16720.432,0.34719896,ok,blend,1,-2305.877,3103.329
2026-09-14 12:00:00+03:00,T+1,47068.504,15544.77,2850.901,28672.834,18395.67,0.3908276,ok,blend,1,-2764.8047,1909.4766
2026-09-14 13:00:00+03:00,T+1,47662.52,17053.809,2683.4646,27925.246,19737.273,0.4141047,ok,blend,1,-747.5879,1509.0391
2026-09-14 14:00:00+03:00,T+1,48564.633,16965.352,2726.713,28872.568,19692.064,0.40548158,ok,blend,1,947.32227,-88.45703
2026-09-14 15:00:00+03:00,T+1,48034.71,15424.543,3517.7253,29092.443,18942.268,0.3943454,ok,blend,1,219.875,-1540.8086
2026-09-14 16:00:00+03:00,T+1,48078.79,13187.115,4369.04,30522.633,17556.156,0.36515388,ok,blend,1,1430.1895,-2237.4277
2026-09-14 17:00:00+03:00,T+1,47687.934,10068.565,4756.364,32863.004,14824.93,0.3108738,ok,blend,1,2340.371,-3118.5498
2026-09-14 18:00:00+03:00,T+1,47079.797,5679.1333,4775.223,36625.44,10454.356,0.2220561,ok,blend,1,3762.4375,-4389.432
2026-09-14 19:00:00+03:00,T+1,47595.246,0.0,5274.147,42321.098,5274.147,0.11081248,zero_night,blend,1,5695.6562,-5679.1333
2026-09-14 20:00:00+03:00,T+1,47120.758,0.0,5650.7246,41470.03,5650.7246,0.11992007,zero_night,blend,0,-851.0664,0.0
2026-09-14 21:00:00+03:00,T+1,45122.586,0.0,5697.2197,39425.367,5697.2197,0.12626094,zero_night,blend,0,-2044.6641,0.0
2026-09-14 22:00:00+03:00,T+1,42545.266,0.0,5596.6934,36948.57,5596.6934,0.1315468,zero_night,blend,0,-2476.7969,0.0
2026-09-14 23:00:00+03:00,T+1,40171.07,0.0,5562.11,34608.96,5562.11,0.13846059,zero_night,blend,0,-2339.6094,0.0
2026-09-15 00:00:00+03:00,T+2,39092.395,0.0,5448.136,33644.258,5448.136,0.13936563,zero_night,blend,0,-964.7031,0.0
2026-09-15 01:00:00+03:00,T+2,36852.945,0.0,5247.0103,31605.936,5247.0103,0.14237696,zero_night,blend,0,-2038.3223,0.0
2026-09-15 02:00:00+03:00,T+2,35587.836,0.0,4947.912,30639.924,4947.912,0.1390338,zero_night,blend,0,-966.0117,0.0
2026-09-15 03:00:00+03:00,T+2,35041.645,0.0,5026.1787,30015.465,5026.1787,0.14343444,zero_night,blend,0,-624.459,0.0
2026-09-15 04:00:00+03:00,T+2,34459.062,0.0,5061.032,29398.031,5061.032,0.14687087,zero_night,blend,0,-617.4336,0.0
2026-09-15 05:00:00+03:00,T+2,34832.438,0.0,5172.588,29659.85,5172.588,0.14849916,zero_night,blend,0,261.81836,0.0
2026-09-15 06:00:00+03:00,T+2,35902.19,0.0,5017.4834,30884.707,5017.4834,0.13975424,ok,blend,0,1224.8574,0.0
2026-09-15 07:00:00+03:00,T+2,38488.56,176.3739,4835.685,33476.5,5012.059,0.13022205,ok,blend,0,2591.793,176.3739
2026-09-15 08:00:00+03:00,T+2,44155.805,2512.2407,4667.8564,36975.707,7180.097,0.16260822,ok,blend,1,3499.207,2335.8667
2026-09-15 09:00:00+03:00,T+2,46185.08,5592.4985,4720.3594,35872.22,10312.857,0.22329414,ok,blend,1,-1103.4883,3080.2578
2026-09-15 10:00:00+03:00,T+2,47412.086,9427.198,4557.491,33427.4,13984.689,0.29496044,ok,blend,1,-2444.8203,3834.6997
2026-09-15 11:00:00+03:00,T+2,48208.445,12620.959,4531.701,31055.785,17152.66,0.35580197,ok,blend,1,-2371.6133,3193.7607
2026-09-15 12:00:00+03:00,T+2,47177.777,14780.63,4583.3936,27813.754,19364.023,0.41044798,ok,blend,1,-3242.0312,2159.671
2026-09-15 13:00:00+03:00,T+2,47537.832,16572.658,4748.7095,26216.465,21321.367,0.44851366,ok,blend,1,-1597.2891,1792.0283
2026-09-15 14:00:00+03:00,T+2,48290.71,15853.9795,5009.685,27427.047,20863.664,0.43204302,ok,blend,1,1210.582,-718.6787
2026-09-15 15:00:00+03:00,T+2,48089.85,14110.181,5633.024,28346.646,19743.205,0.41054827,ok,blend,1,919.5996,-1743.7988
2026-09-15 16:00:00+03:00,T+2,47912.496,11553.0,6128.09,30231.406,17681.09,0.36902878,ok,blend,1,1884.7598,-2557.1807
2026-09-15 17:00:00+03:00,T+2,48274.855,8062.939,6570.2583,33641.656,14633.197,0.30312255,ok,blend,1,3410.25,-3490.061
2026-09-15 18:00:00+03:00,T+2,47919.09,5196.061,6969.877,35753.152,12165.9375,0.253885,ok,blend,1,2111.496,-2866.878
2026-09-15 19:00:00+03:00,T+2,48617.89,0.0,6984.6313,41633.258,6984.6313,0.14366381,zero_night,blend,1,5880.1055,-5196.061
2026-09-15 20:00:00+03:00,T+2,47761.32,0.0,7392.9297,40368.39,7392.9297,0.15478906,zero_night,blend,0,-1264.8672,0.0
2026-09-15 21:00:00+03:00,T+2,45327.742,0.0,7384.3057,37943.438,7384.3057,0.1629092,zero_night,blend,0,-2424.9531,0.0
2026-09-15 22:00:00+03:00,T+2,43114.15,0.0,7536.8096,35577.34,7536.8096,0.17481059,zero_night,blend,0,-2366.0977,0.0
2026-09-15 23:00:00+03:00,T+2,40918.72,0.0,7469.708,33449.01,7469.708,0.1825499,zero_night,blend,0,-2128.3281,0.0
