datetime,horizon,consumption_pred_mw,solar_pred_mw,wind_pred_mw,residual_load_mw,renewable_generation_mw,renewable_penetration,solar_status,wind_status,is_peak_hour,residual_ramp_1h,solar_ramp_1h
2026-09-09 00:00:00+03:00,T+1,40907.902,0.0,6352.1553,34555.746,6352.1553,0.15527941,zero_night,blend,0,0.0,0.0
2026-09-09 01:00:00+03:00,T+1,38859.234,0.0,6231.2896,32627.945,6231.2896,0.16035543,zero_night,blend,0,-1927.8008,0.0
2026-09-09 02:00:00+03:00,T+1,37381.152,0.0,5939.9565,31441.195,5939.9565,0.15890245,zero_night,blend,0,-1186.75,0.0
2026-09-09 03:00:00+03:00,T+1,36366.766,0.0,5871.753,30495.012,5871.753,0.16145931,zero_night,blend,0,-946.1836,0.0
2026-09-09 04:00:00+03:00,T+1,35390.977,0.0,5806.2974,29584.68,5806.2974,0.16406152,zero_night,blend,0,-910.33203,0.0
2026-09-09 05:00:00+03:00,T+1,36114.84,0.0,5632.8145,30482.025,5632.8145,0.15596953,zero_night,blend,0,897.3457,0.0
2026-09-09 06:00:00+03:00,T+1,36981.293,0.0,5555.003,31426.29,5555.003,0.15021116,ok,blend,0,944.2637,0.0
2026-09-09 07:00:00+03:00,T+1,39957.375,277.9216,5270.944,34408.508,5548.865,0.13886961,ok,blend,0,2982.2188,277.9216
2026-09-09 08:00:00+03:00,T+1,46020.31,3243.6711,4780.9624,37995.676,8024.634,0.17437157,ok,blend,1,3587.168,2965.7495
2026-09-09 09:00:00+03:00,T+1,48803.047,7844.437,4464.1987,36494.41,12308.636,0.2522104,ok,blend,1,-1501.2656,4600.7656
2026-09-09 10:00:00+03:00,T+1,49425.31,12093.067,4568.695,32763.547,16661.762,0.33710992,ok,blend,1,-3730.8633,4248.6304
2026-09-09 11:00:00+03:00,T+1,50077.562,15447.147,4574.2075,30056.207,20021.355,0.39980692,ok,blend,1,-2707.3398,3354.08
2026-09-09 12:00:00+03:00,T+1,49436.547,17674.486,4743.3984,27018.662,22417.885,0.45346785,ok,blend,1,-3037.545,2227.3389
2026-09-09 13:00:00+03:00,T+1,50148.24,18725.492,4984.7173,26438.03,23710.209,0.47280243,ok,blend,1,-580.6328,1051.0059
2026-09-09 14:00:00+03:00,T+1,50544.008,18534.025,5223.69,26786.293,23757.715,0.47004017,ok,blend,1,348.26367,-191.4668
2026-09-09 15:00:00+03:00,T+1,49814.79,17139.314,5424.749,27250.727,22564.062,0.45295912,ok,blend,1,464.4336,-1394.7109
2026-09-09 16:00:00+03:00,T+1,49271.664,14576.1,5755.107,28940.457,20331.207,0.41263488,ok,blend,1,1689.7305,-2563.2148
2026-09-09 17:00:00+03:00,T+1,49305.465,11019.655,6538.8,31747.01,17558.455,0.3561158,ok,blend,1,2806.5527,-3556.4443
2026-09-09 18:00:00+03:00,T+1,48884.19,6646.1797,6833.808,35404.203,13479.988,0.27575353,ok,blend,1,3657.1934,-4373.4756
2026-09-09 19:00:00+03:00,T+1,50181.703,0.0,6889.3936,43292.31,6889.3936,0.13728896,zero_night,blend,1,7888.1055,-6646.1797
2026-09-09 20:00:00+03:00,T+1,49658.848,0.0,6801.0796,42857.77,6801.0796,0.13695605,zero_night,blend,0,-434.53906,0.0
2026-09-09 21:00:00+03:00,T+1,47492.477,0.0,6555.0225,40937.453,6555.0225,0.13802233,zero_night,blend,0,-1920.3164,0.0
2026-09-09 22:00:00+03:00,T+1,45596.2,0.0,6022.0527,39574.15,6022.0527,0.13207357,zero_night,blend,0,-1363.3047,0.0
2026-09-09 23:00:00+03:00,T+1,43175.113,0.0,5648.457,37526.656,5648.457,0.13082668,zero_night,blend,0,-2047.4922,0.0
2026-09-10 00:00:00+03:00,T+2,40900.426,0.0,4679.8853,36220.54,4679.8853,0.114421435,zero_night,blend,0,-1306.1172,0.0
2026-09-10 01:00:00+03:00,T+2,39452.457,0.0,4187.439,35265.02,4187.439,0.10613886,zero_night,blend,0,-955.51953,0.0
2026-09-10 02:00:00+03:00,T+2,37902.457,0.0,3968.671,33933.785,3968.671,0.10470749,zero_night,blend,0,-1331.2344,0.0
2026-09-10 03:00:00+03:00,T+2,36238.81,0.0,4001.1128,32237.695,4001.1128,0.11040961,zero_night,blend,0,-1696.0898,0.0
2026-09-10 04:00:00+03:00,T+2,35465.113,0.0,4133.0684,31332.045,4133.0684,0.11653899,zero_night,blend,0,-905.6504,0.0
2026-09-10 05:00:00+03:00,T+2,36191.7,0.0,4121.379,32070.32,4121.379,0.11387636,zero_night,blend,0,738.2754,0.0
2026-09-10 06:00:00+03:00,T+2,37240.816,0.0,3924.836,33315.98,3924.836,0.105390705,ok,blend,0,1245.6602,0.0
2026-09-10 07:00:00+03:00,T+2,40508.406,268.5942,3378.2158,36861.598,3646.81,0.090026006,ok,blend,0,3545.6172,268.5942
2026-09-10 08:00:00+03:00,T+2,46748.047,3169.086,2945.1685,40633.793,6114.2544,0.13079165,ok,blend,1,3772.1953,2900.4917
2026-09-10 09:00:00+03:00,T+2,49106.906,7712.144,2549.2856,38845.477,10261.43,0.20896102,ok,blend,1,-1788.3164,4543.058
2026-09-10 10:00:00+03:00,T+2,49967.25,11956.287,2363.4307,35647.53,14319.718,0.28658205,ok,blend,1,-3197.9453,4244.143
2026-09-10 11:00:00+03:00,T+2,50305.85,15197.181,2328.9514,32779.72,17526.133,0.34839153,ok,blend,1,-2867.8125,3240.8936
2026-09-10 12:00:00+03:00,T+2,49177.312,17342.451,2330.763,29504.098,19673.215,0.40004656,ok,blend,1,-3275.621,2145.2705
2026-09-10 13:00:00+03:00,T+2,49696.99,18213.986,2564.7068,28918.295,20778.693,0.4181077,ok,blend,1,-585.80273,871.53516
2026-09-10 14:00:00+03:00,T+2,50968.84,18100.662,2986.9714,29881.207,21087.633,0.41373578,ok,blend,1,962.9121,-113.32422
2026-09-10 15:00:00+03:00,T+2,49486.277,16916.725,3342.1655,29227.387,20258.89,0.409384,ok,blend,1,-653.8203,-1183.9375
2026-09-10 16:00:00+03:00,T+2,49583.402,14422.333,3791.205,31369.863,18213.54,0.36733136,ok,blend,1,2142.4766,-2494.3916
2026-09-10 17:00:00+03:00,T+2,49851.02,10845.657,4342.161,34663.203,15187.818,0.30466413,ok,blend,1,3293.3398,-3576.6758
2026-09-10 18:00:00+03:00,T+2,49614.33,6487.422,4790.9365,38335.97,11278.358,0.2273206,ok,blend,1,3672.7656,-4358.2354
2026-09-10 19:00:00+03:00,T+2,50288.645,0.0,4953.06,45335.586,4953.06,0.098492615,zero_night,blend,1,6999.617,-6487.422
2026-09-10 20:00:00+03:00,T+2,49551.75,0.0,5128.059,44423.69,5128.059,0.10348896,zero_night,blend,0,-911.89453,0.0
2026-09-10 21:00:00+03:00,T+2,48142.395,0.0,4876.2915,43266.1,4876.2915,0.10128893,zero_night,blend,0,-1157.5898,0.0
2026-09-10 22:00:00+03:00,T+2,46360.29,0.0,4841.705,41518.586,4841.705,0.10443647,zero_night,blend,0,-1747.5156,0.0
2026-09-10 23:00:00+03:00,T+2,43553.055,0.0,4643.5693,38909.484,4643.5693,0.10661868,zero_night,blend,0,-2609.1016,0.0
