datetime,horizon,consumption_pred_mw,solar_pred_mw,wind_pred_mw,residual_load_mw,renewable_generation_mw,renewable_penetration,solar_status,wind_status,is_peak_hour,residual_ramp_1h,solar_ramp_1h
2026-09-06 00:00:00+03:00,T+1,41156.758,0.0,4101.8276,37054.93,4101.8276,0.099663526,zero_night,blend,0,0.0,0.0
2026-09-06 01:00:00+03:00,T+1,39207.684,0.0,3849.9321,35357.75,3849.9321,0.09819331,zero_night,blend,0,-1697.1797,0.0
2026-09-06 02:00:00+03:00,T+1,37951.355,0.0,3593.1907,34358.164,3593.1907,0.09467885,zero_night,blend,0,-999.58594,0.0
2026-09-06 03:00:00+03:00,T+1,36555.08,0.0,3521.788,33033.29,3521.788,0.09634197,zero_night,blend,0,-1324.875,0.0
2026-09-06 04:00:00+03:00,T+1,35295.137,0.0,3586.9763,31708.16,3586.9763,0.10162806,zero_night,blend,0,-1325.1289,0.0
2026-09-06 05:00:00+03:00,T+1,35280.254,0.0,3521.4463,31758.809,3521.4463,0.09981352,zero_night,blend,0,50.648438,0.0
2026-09-06 06:00:00+03:00,T+1,35232.78,0.43995583,3423.726,31808.615,3424.166,0.09718694,ok,blend,0,49.80664,0.43995583
2026-09-06 07:00:00+03:00,T+1,35913.39,325.3516,3301.3533,32286.686,3626.7048,0.10098475,ok,blend,0,478.0703,324.91165
2026-09-06 08:00:00+03:00,T+1,38859.344,3354.8271,3264.5127,32240.004,6619.34,0.17034101,ok,blend,1,-46.68164,3029.4756
2026-09-06 09:00:00+03:00,T+1,40120.355,7880.97,2956.5916,29282.793,10837.562,0.27012625,ok,blend,1,-2957.211,4526.143
2026-09-06 10:00:00+03:00,T+1,40989.39,12045.9375,2716.227,26227.227,14762.164,0.360146,ok,blend,1,-3055.5664,4164.9673
2026-09-06 11:00:00+03:00,T+1,42156.082,15261.903,2664.8657,24229.312,17926.77,0.42524752,ok,blend,1,-1997.9141,3215.9658
2026-09-06 12:00:00+03:00,T+1,42254.406,17317.182,2949.853,21987.371,20267.035,0.4796431,ok,blend,1,-2241.9414,2055.2783
2026-09-06 13:00:00+03:00,T+1,42827.145,18304.31,3277.6257,21245.209,21581.936,0.5039312,ok,blend,1,-742.1621,987.1289
2026-09-06 14:00:00+03:00,T+1,42797.562,17732.783,4085.0085,20979.771,21817.791,0.5097905,ok,blend,1,-265.4375,-571.52734
