number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
16,2.0272176027311564,2026-08-20 02:57:16.323929,2026-08-20 02:58:23.052721,0 days 00:01:06.728792,0.6329234678224496,0.07037235616896366,12,10,1400,92,0.34155009493549227,0.3583902847905419,0.6732132011401761,COMPLETE
17,2.0183799752896365,2026-08-20 02:58:23.052721,2026-08-20 02:58:42.621202,0 days 00:00:19.568481,0.7178714526143911,0.04582712497421664,10,59,1100,56,0.1722342260286328,0.41014077533228244,0.9183509774407929,COMPLETE
18,2.0280244605895237,2026-08-20 02:58:42.621202,2026-08-20 02:59:00.422887,0 days 00:00:17.801685,0.7597419259937476,0.029020307342759552,6,76,1600,36,0.4129939108114107,0.9757953228716046,0.7888490300704191,COMPLETE
19,1.9620799241675877,2026-08-20 02:59:00.423884,2026-08-20 02:59:07.329381,0 days 00:00:06.905497,0.7013824326081389,0.03063712774043244,11,34,800,79,0.6538839629254709,0.5958834501052024,0.6028550510494292,COMPLETE
20,2.021531846472856,2026-08-20 02:59:07.329381,2026-08-20 02:59:32.980101,0 days 00:00:25.650720,0.9712411472931488,0.04434201471631712,8,22,1900,100,0.21885874639140968,0.7773952743455878,0.6972415725615598,COMPLETE
21,1.9376610705098578,2026-08-20 02:59:32.981613,2026-08-20 03:00:05.218007,0 days 00:00:32.236394,0.697561098567531,0.028141271514827246,11,33,900,79,0.6948787015458227,0.6001799667185743,0.6405036461119382,COMPLETE
22,1.9553771457015634,2026-08-20 03:00:05.218007,2026-08-20 03:00:20.531855,0 days 00:00:15.313848,0.6444908463830233,0.028373913234473157,11,45,1100,67,0.7544106742448564,0.5788171180650313,0.6590209800575184,COMPLETE
23,1.9027592076257163,2026-08-20 03:00:20.531855,2026-08-20 03:00:35.818785,0 days 00:00:15.286930,0.6281313180925026,0.021843805402302345,11,19,1200,84,0.8183944068729494,0.6557510413958609,0.6552166870878078,COMPLETE
24,1.943290750079763,2026-08-20 03:00:35.818785,2026-08-20 03:01:01.455343,0 days 00:00:25.636558,0.6246889356752515,0.020485005700718113,9,35,1200,86,0.6050652366001583,0.8547202725585729,0.7246525740864702,COMPLETE
25,1.9999912771752626,2026-08-20 03:01:01.455343,2026-08-20 03:01:25.115882,0 days 00:00:23.660539,0.7445167910225389,0.025169365284931005,11,54,900,124,0.45088522178407364,0.6661173280896907,0.600225693696589,COMPLETE
26,1.918188285572232,2026-08-20 03:01:25.115882,2026-08-20 03:02:02.695733,0 days 00:00:37.579851,0.6923784036892335,0.03240197606746355,9,21,1100,101,0.7059820183240009,0.7454361721496376,0.6393534563704263,COMPLETE
27,1.9367384856583583,2026-08-20 03:02:02.695733,2026-08-20 03:02:37.813418,0 days 00:00:35.117685,0.8027962642814905,0.032814906568413585,9,19,1300,86,0.7135313840513817,0.46968916734191346,0.6457999339218562,COMPLETE
28,1.9480308841785667,2026-08-20 03:02:37.813418,2026-08-20 03:03:05.139747,0 days 00:00:27.326329,0.8491503710277805,0.03244294069824676,6,20,1400,62,0.8322138429389604,0.44267524229569044,0.6924182323774533,COMPLETE
29,1.9436402166188065,2026-08-20 03:03:05.139747,2026-08-20 03:03:38.589624,0 days 00:00:33.449877,0.8265487802325504,0.03901916822077965,8,20,1300,97,0.8398384561816132,0.3279510964778518,0.6667732842380393,COMPLETE
30,1.9567848426709098,2026-08-20 03:03:38.589624,2026-08-20 03:04:22.069613,0 days 00:00:43.479989,0.8037317314719775,0.040688874853976785,9,18,1500,86,0.7062638571722368,0.7540358863824801,0.6365664406777085,COMPLETE
31,1.9587895427633064,2026-08-20 03:04:22.069613,2026-08-20 03:04:46.635932,0 days 00:00:24.566319,0.6985579596376351,0.0341614636287443,10,30,900,74,0.6485257501711412,0.5182727805672667,0.6519811299867809,COMPLETE
32,1.912654493059052,2026-08-20 03:04:46.636936,2026-08-20 03:05:11.823986,0 days 00:00:25.187050,0.6700510616875193,0.02849056161391847,7,28,1200,111,0.7198906102266032,0.6463436111984356,0.6507900564255091,COMPLETE
33,1.9415981147410044,2026-08-20 03:05:11.823986,2026-08-20 03:05:25.059378,0 days 00:00:13.235392,0.6627865078894758,0.02164996920886094,5,28,1100,115,0.9964148634328532,0.5049961527660976,0.6823374971833298,COMPLETE
34,1.8954298240670735,2026-08-20 03:05:25.059378,2026-08-20 03:05:55.069543,0 days 00:00:30.010165,0.6785552815872862,0.026904174693599636,7,17,1200,113,0.7472815091445103,0.6423975900955461,0.6102235908877358,COMPLETE
